"","stimuli","category","condition","sound","corpes_norm_spain","outlier","element","mean","median","n.char","Number","S1","S2","S3","S4","S5","S6"
"183","pavo","food","plosive","p",5.32,"FALSE","word",6.45605263157895,4.855,4,1,"El","pavo","está","en","el","horno"
"184","pavo","food","plosive","p",5.32,"FALSE","word",6.45605263157895,4.855,4,2,"El","pavo","se","sirve","con","arándanos"
"185","pincel","objects","plosive","p",3.47,"FALSE","word",7.26432432432432,6.89,6,1,"El","pincel","estaba","mojado","de","pintura"
"186","pincel","objects","plosive","p",3.47,"FALSE","word",7.26432432432432,6.89,6,3,"El","pincel","de","cerdas","duras","raspa"
"187","pincel","objects","plosive","p",3.47,"FALSE","word",7.26432432432432,6.89,6,2,"El","pincle","fino","sirve","para","detalles"
"188","pincel","objects","plosive","p",3.47,"FALSE","word",7.26432432432432,6.89,6,4,"El","pincel","ancho","cubre","más","área"
"189","pollo","food","plosive","p",18.7,"FALSE","word",6.45605263157895,4.855,5,4,"El","pollo","al","curry","sabe","bien"
"190","pollo","food","plosive","p",18.7,"FALSE","word",6.45605263157895,4.855,5,1,"El","pollo","frito","estaba","muy","sabroso"
"191","pollo","food","plosive","p",18.7,"FALSE","word",6.45605263157895,4.855,5,3,"El","pollo","frito","es","mi","debilidad"
"192","pollo","food","plosive","p",18.7,"FALSE","word",6.45605263157895,4.855,5,2,"El","pollo","en","salsa","es","exquisito"
"193","sable","objects","fricative","s",1.91,"FALSE","word",7.26432432432432,6.89,5,3,"El","sable","es","un","arma","curva"
"194","sable","objects","fricative","s",1.91,"FALSE","word",7.26432432432432,6.89,5,4,"El","sable","es","un","arma","antigua"
"195","sable","objects","fricative","s",1.91,"FALSE","word",7.26432432432432,6.89,5,1,"El","sable","láser","es","muy","futurista"
"196","sable","objects","fricative","s",1.91,"FALSE","word",7.26432432432432,6.89,5,2,"El","sable","del","general","estaba","mellado"
"197","salchicha","food","fricative","s",2.46,"FALSE","word",6.45605263157895,4.855,9,4,"La","salchicha","italiana","tiene","mucho","sabor"
